Key|Canonical Key|HD Row|BXP|XP/HP|S Abilities|S Basis|S Award Units|E Abilities|E Basis|E Award Units|Adjustment|Appendix E XP|Chosen XP|Status|Decision
basilisk||6+1--7|225|8|1|petrifying gaze and planar extension|2|1|petrifying gaze and planar extension|3|extraordinary gaze package 2S+3E|1000 + 8/hp|1000 + 8/hp|confirmed|The published subtotal treats its single extraordinary gaze package as two Special and three Exceptional award units, covering petrification plus its lethal or petrifying reach into the astral and ethereal planes.
bear_black||3+1--4|60|4|1|hug|1|0|none|0|none|85 + 4/hp|85 + 4/hp|confirmed|The hug earns one Special award.
bear_brown||5+1--6|150|6|2|hug; fights after reaching 0 hp|2|0|none|0|none|300 + 6/hp|300 + 6/hp|confirmed|The hug and continued fighting after reaching 0 hp each earn one Special award.
bear_cave||6+1--7|225|8|2|hug; fights after reaching 0 hp|2|0|none|0|none|475 + 8/hp|475 + 8/hp|confirmed|The hug and continued fighting after reaching 0 hp each earn one Special award; its ordinary attack routine does not cross the three-attack maximum-damage threshold.
beaver_giant||3+1--4|60|4|0|none|0|0|none|0|none|60 + 4/hp|60 + 4/hp|confirmed|No qualifying abilities.
beetle_bombardier||2+1--3|35|3|1|acid cloud as missile discharge|1|1|stunning and deafening cloud|1|none|105 + 3/hp|105 + 3/hp|confirmed|The discharged acid cloud earns one Special and its chance to stun or deafen earns one Exceptional award.
beetle_boring||4+1--5|90|5|0|none|0|0|none|0|none|90 + 5/hp|90 + 5/hp|confirmed|No qualifying abilities.
beetle_fire||1+1--2|20|2|0|none|0|0|none|0|none|20 + 2/hp|20 + 2/hp|confirmed|No qualifying combat abilities; the removable light glands do not affect combat.
beetle_rhinoceros||11--12+|1300|16|0|none|0|1|maximum damage 34 doubly|1|none|2150 + 16/hp|2150 + 16/hp|confirmed|Its two-attack routine exceeds the doubled maximum-damage threshold of 30.
beetle_stag||6+1--7|225|8|0|none|0|0|none|0|none|400 + 8/hp|225 + 8/hp|corrected|Its three attacks total at most 36 damage, exactly the threshold rather than over it, and the description supplies no other qualifying ability; remove the published Exceptional award.
beetle_water||3+1--4|60|4|0|none|0|0|none|0|none|85 + 4/hp|60 + 4/hp|corrected|The published subtotal contains one unexplained Special award; fast swimming and hunting by scent and vibration do not materially alter combat.
beholder||varies|varies|varies|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|12900 + 20/hp|12900 + 20/hp|variable|The Appendix subtotal uses the 15--16+ row; keyed 10--16 HD forms retain the same two-Special and five-Exceptional allocation on their actual rows.
beholder_10hd|beholder|9+1--10+|900|14|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|group listing 12900 + 20/hp|4800 + 14/hp|derived|Applies the common Beholder allocation to the inferred 10 HD form.
beholder_11hd|beholder|11--12+|1300|16|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|group listing 12900 + 20/hp|6950 + 16/hp|derived|Applies the common Beholder allocation to the inferred 11 HD form.
beholder_12hd|beholder|11--12+|1300|16|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|group listing 12900 + 20/hp|6950 + 16/hp|derived|Applies the common Beholder allocation to the inferred 12 HD form.
beholder_13hd|beholder|13--14+|1800|18|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|group listing 12900 + 20/hp|9700 + 18/hp|derived|Applies the common Beholder allocation to the inferred 13 HD form.
beholder_14hd|beholder|13--14+|1800|18|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|group listing 12900 + 20/hp|9700 + 18/hp|derived|Applies the common Beholder allocation to the inferred 14 HD form.
beholder_15hd|beholder|15--16+|2400|20|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|12900 + 20/hp|12900 + 20/hp|confirmed|This inferred form uses the same row and allocation as the Appendix subtotal.
beholder_16hd|beholder|15--16+|2400|20|2|armor class 0; exceptional intelligence affecting combat|2|2|magical eye rays; anti-magic and magic resistance|5|extraordinary eye-power package totals 5E|12900 + 20/hp|12900 + 20/hp|confirmed|This inferred form uses the same row and allocation as the Appendix subtotal.
black_pudding||9+1--10+|900|14|2|dissolves wood and metal; immune to blows, cold, and lightning|2|0|none|0|none|1350 + 14/hp|1800 + 14/hp|corrected|Count the offensive corrosion ability and the distinct package of combat immunities as two cumulative Specials.
blink_dog||3+1--4|60|4|2|rear attack 75 percent; teleporting|2|0|none|0|none|170 + 5/hp|110 + 4/hp|corrected|Use the actual 4 HD row and award one Special each for its rear-positioning attack and combat teleportation.
boar_wild||3+1--4|60|4|1|fights after reaching 0 hp|1|0|none|0|none|85 + 4/hp|85 + 4/hp|confirmed|The prose-only ability to continue fighting below 0 hp earns one Special and is included in the descriptive fields.
boar_giant||6+1--7|225|8|1|fights after reaching 0 hp|1|0|none|0|none|225 + 8/hp|350 + 8/hp|corrected|Apply the same prose-only Special awarded to the lesser boars; the giant form can continue fighting as low as -10 hp.
warthog||2+1--3|35|3|1|fights after reaching 0 hp|1|0|none|0|none|50 + 3/hp|50 + 3/hp|confirmed|The prose-only ability to continue fighting below 0 hp earns one Special and is included in the descriptive fields.
boar_warthog|warthog|2+1--3|35|3|1|fights after reaching 0 hp|1|0|none|0|none|group listing 50 + 3/hp|50 + 3/hp|alias|Useful alternate lookup key; inherits the Warthog allocation.
brain_mole||up to 1-1|5|1|0|none|0|1|psionic mind attack|1|fixed 1 hp|31 fixed|31 fixed|confirmed|The fixed total is base 5 plus one Exceptional award of 25 plus 1 XP for its single hit point.
brownie||up to 1-1|5|1|5|high intelligence; exceptional senses; never surprised; Dexterity 18; natural invisibility|5|2|spell use; cleric-level saves and magic resistance|2|none|65 + 1/hp|65 + 1/hp|confirmed|The published extraordinary allocation is supported by its numerous combat-relevant senses, defenses, spell use, and escape abilities.
buffalo||4+1--5|90|5|1|charge and trample|1|0|none|0|none|350 + 8/hp|130 + 5/hp|corrected|Use the actual 5 HD row; the charge and its associated trampling form one Special package.
bugbear||3+1--4|60|4|3|surprise on 1--3; missile discharge; infravision and night fighting|3|0|none|0|none|135 + 4/hp|135 + 4/hp|confirmed|The published subtotal can be read as one Special each for exceptional surprise, thrown weapons, and effective combat in darkness.
bulette||8+1--9|600|12|3|armor class -2; burrowing ambush; jumping attack|3|1|extraordinary maximum-damage package|2|maximum-damage award x2|2300 + 12/hp|2300 + 12/hp|confirmed|Its normal and jumping routines both greatly exceed their applicable maximum-damage thresholds, supporting a doubled award for the single extraordinary damage package alongside three Special combat advantages.
bull||3+1--4|60|4|1|charge and trample|1|0|none|0|none|85 + 4/hp|85 + 4/hp|confirmed|The charge and its associated trampling form one Special package.
camel_wild||2+1--3|35|3|1|spitting as missile discharge|1|0|none|0|none|35 + 3/hp|50 + 3/hp|corrected|The stat block explicitly lists spitting and the prose gives it a chance to blind; award the missile discharge one Special, with no separate Exceptional for its low overall chance and short duration.
carrion_crawler||3+1--4|60|4|1|eight attacks per round|0|1|paralysis tentacles|8|paralysis package x8; multiple attacks subsumed|580 + 4/hp|580 + 4/hp|confirmed|Each of the eight tentacles can paralyze; the published subtotal treats the paralysis package as eight Exceptional award units, subsuming the ordinary multiple-attack award.
catoblepas||6+1--7|225|8|1|gaze as ranged special attack|1|2|stunning tail; death gaze|2|none|700 + 8/hp|700 + 8/hp|confirmed|The ranged gaze earns one Special, while the stunning tail and lethal gaze each earn one Exceptional award.
cattle_wild||varies|varies|varies|0|none|0|0|none|0|middle-form summary|35 + 2/hp|35 + 3/hp|corrected|The Appendix crosses the 3 HD base with the 2 HD rate; use the representative 3 HD form. Stampeding is a group event and does not change an individual animal's award.
cattle_wild_1hd|cattle_wild|1-1--1|10|1|0|none|0|0|none|0|none|not listed|10 + 1/hp|derived|Uses the actual 1 HD row; the group stampede does not change the individual award.
cattle_wild_2hd|cattle_wild|1+1--2|20|2|0|none|0|0|none|0|none|not listed|20 + 2/hp|derived|Uses the actual 2 HD row; the group stampede does not change the individual award.
cattle_wild_3hd|cattle_wild|2+1--3|35|3|0|none|0|0|none|0|none|group listing 35 + 2/hp|35 + 3/hp|derived|Uses the actual 3 HD row and corrects the crossed Appendix rate; the group stampede does not change the individual award.
cattle_wild_4hd|cattle_wild|3+1--4|60|4|0|none|0|0|none|0|none|not listed|60 + 4/hp|derived|Uses the actual 4 HD row; the group stampede does not change the individual award.
centaur||3+1--4|60|4|1|human weapon use including bows|1|0|none|0|none|85 + 4/hp|85 + 4/hp|confirmed|Its organized human weapon use, including missile discharge, earns one Special award.
centipede_giant||up to 1-1|5|1|0|none|0|1|poison|1|none|30 + 1/hp|30 + 1/hp|confirmed|Poison earns one Exceptional award even though this creature's poison grants a +4 saving-throw bonus.
cerebral_parasite||none|none|none|0|none|0|0|none|0|noncombatant parasite override|nil|nil|override|Its infestation has no conventional hit dice or hit points and cannot be valued through the p. 85 table; retain nil XP.
chimera||8+1--9|600|12|1|six attacks per round|1|1|breath weapon|1|none|1000 + 12/hp|1300 + 12/hp|corrected|Count the explicit Special award for four or more attacks in addition to the breath-weapon Exceptional; its six-attack routine totals only 34 maximum damage and earns no further award.
cockatrice||4+1--5|90|5|0|none|0|1|petrifying touch|3|petrification x3|315 + 5/hp|315 + 5/hp|confirmed|The otherwise weak creature's lethal petrifying touch receives three Exceptional award units.
couatl||8+1--9|600|12|2|genius intelligence affecting combat; ethereal defense|2|3|poison; spell use; psionics|3|none|2400 + 12/hp|2400 + 12/hp|confirmed|Its intelligence and ethereal defense earn two Specials, while poison, spell use, and psionics earn three Exceptionals.
crab_giant||2+1--3|35|3|0|none|0|0|none|0|none|35 + 3/hp|35 + 3/hp|confirmed|No qualifying abilities.
crayfish_giant||4+1--5|90|5|0|none|0|0|none|0|none|90 + 5/hp|90 + 5/hp|confirmed|No qualifying abilities.
crocodile||2+1--3|35|3|0|none|0|0|none|0|none|60 + 4/hp|35 + 3/hp|corrected|Use the actual 3 HD row rather than the 4 HD row copied by the Appendix.
crocodile_giant||6+1--7|225|8|0|none|0|1|maximum damage 38 doubly|1|none|400 + 8/hp|400 + 8/hp|confirmed|Its two-attack routine exceeds the doubled maximum-damage threshold of 30.
demogorgon||21+|5000|35|10|armor class -8; multiple attacks; special attacks and defenses; supra-genius combat intelligence|10|12|energy drain; rotting; gaze powers; spell use; psionics; magic resistance and weapon immunity|12|fixed 200 hp; extraordinary ability packages|74000 fixed|67000 + 35/hp|corrected|Preserve the published 200 hit points in the HD field while using the inferred top p. 85 row only for XP; the formula yields the published 74000 at 200 hp.
juiblex||21+|5000|35|7|armor class -7; special attacks and defenses; genius combat intelligence|7|7|ochre-slime attack; spell use; psionics; magic resistance and weapon immunity|7|fixed 88 hp; extraordinary ability packages|47280 fixed|44200 + 35/hp|corrected|Preserve the published 88 hit points in the HD field. Although 88 divided by the d8 average suggests about 20 HD, that is only a plausibility check; the 21-and-up row exactly reproduces the published total with a balanced 7S and 7E and agrees with his THAC0 and peer demon-lord treatment.
manes||1-1--1|10|1|2|magic weapons to hit; undead spell resistance|2|0|none|0|none|18 + 1/hp|18 + 1/hp|confirmed|Its two special defenses earn two Special awards.
orcus||21+|5000|35|6|armor class -6; weapon immunity; supra-genius combat intelligence; shared demon defenses; teleportation and darkness; extraordinary weapon attack bonus|8|7|poison; death wand; spell use; psionics; magic resistance; demon gating; undead summoning|11|fixed 120 hp; extraordinary death-wand, spell, and summoning packages; DMG 63900 typo for 63000|63900 fixed|58800 + 35/hp|corrected|Preserve the published 120 hit points and use the 21-and-up row indicated by its roughly 27-die average and peer status. Eight Special and eleven Exceptional award units give 63000 at 120 hp, a balanced allocation comparable to Demogorgon and Asmodeus; treat the DMG's 63900 as a typo rather than forcing an implausible row or fractional award.
succubus||5+1--6|150|6|6|armor class 0; special attacks and defenses; exceptional combat intelligence|6|12|energy drain; spell use; psionics; magic resistance and weapon immunity|12|extraordinary ability packages|2100 + 6/hp|2100 + 6/hp|confirmed|The published subtotal uses six Special and twelve Exceptional award units for its extensive combat powers.
type_I_demon||7+1--8|375|10|2|five attacks; armor class 0|2|2|magic use; magic resistance|2|none|1275 + 10/hp|1275 + 10/hp|confirmed|Multiple attacks and AC 0 earn two Specials; magic use and magic resistance earn two Exceptionals.
type_II_demon||8+1--9|600|12|2|armor class -2; special attacks and defenses|2|2|magic use and psionics; magic resistance|2|none|2000 + 12/hp|2000 + 12/hp|confirmed|Two Special and two Exceptional award units reproduce the published subtotal.
type_III_demon||9+1--10+|900|14|2|five attacks; armor class -4|2|1|magic use, psionics, and magic resistance package|1|combined extraordinary package|2400 + 14/hp|2400 + 14/hp|confirmed|Multiple attacks and AC -4 earn two Specials; the related magical powers are combined into one Exceptional package.
type_IV_demon||11--12+|1300|16|0|none|0|2|magic use and psionics; magic resistance and weapon immunity|2|combined extraordinary packages|3000 + 16/hp|3000 + 16/hp|confirmed|The published subtotal combines its extensive magic and defenses into two Exceptional packages.
type_V_demon||7+1--8|375|10|4|seven attacks; armor class -7; high combat intelligence; special attacks and defenses|4|3|magic use; psionics; magic resistance and weapon immunity|3|none|3000 + 12/hp|1900 + 10/hp|corrected|Use the actual 7+7 HD row while retaining four Special and three Exceptional award units.
type_VI_demon||8+1--9|600|12|2|armor class -2; high combat intelligence|2|6|immolation and weapon attacks; magic use; psionics; magic resistance and weapon immunity|6|extraordinary ability packages|3600 + 12/hp|3600 + 12/hp|confirmed|Two Special and six Exceptional award units reproduce the published subtotal.
yeenoghu||21+|5000|35|5|armor class -5; special attacks and defenses; exceptional combat intelligence|5|11|paralysis and confusion; spell use; psionics; regeneration; magic resistance and weapon immunity|11|fixed 100 hp; extraordinary ability packages|54500 fixed|51000 + 35/hp|corrected|Preserve the published 100 hit points in the HD field while using the inferred top p. 85 row only for XP; the formula yields 54500 at 100 hp.
asmodeus||21+|5000|35|10|armor class -7; special attacks and defenses; supra-genius combat intelligence|10|11|rod powers; gaze powers; spell use; psionics; magic resistance and weapon immunity|11|fixed 199 hp; extraordinary ability packages|70965 fixed|64000 + 35/hp|corrected|Preserve the published 199 hit points in the HD field while using the inferred top p. 85 row only for XP; the formula yields the published 70965 at 199 hp.
baalzebul||21+|5000|35|1|armor class -5 and special combat package|1|16|poison; gaze powers; spell use; psionics; magic resistance and weapon immunity|16|fixed 166 hp; extraordinary ability packages|61410 fixed|55600 + 35/hp|corrected|Preserve the published 166 hit points in the HD field while using the inferred top p. 85 row only for XP; one Special and sixteen Exceptional award units reproduce 61410 at 166 hp.
barbed_devil||7+1--8|375|10|4|armor class 0; fear; never surprised; shared devil defenses|4|2|magic use; magic resistance|2|reclassify published six Specials|1425 + 10/hp|1625 + 10/hp|corrected|The published subtotal is six Specials, but p. 85 explicitly classifies spell use and magic resistance as Exceptional; retain four other Specials and reclassify those two awards.
bone_devil||8+1--9|600|12|2|armor class -1 and bone hook; magic weapons to hit|2|4|strength drain; magic use; magic resistance; fear and ice magic package|4|none|2800 + 12/hp|2800 + 12/hp|confirmed|Two Special and four Exceptional award units reproduce the published subtotal and cover its hook, defenses, debilitating tail, spell use, and resistance.
dispater||21+|5000|35|10|armor class -2; special attacks and defenses; genius combat intelligence|10|4|rod powers; spell use; psionics; magic resistance and weapon immunity|4|fixed 144 hp; extraordinary ability packages|48040 fixed|43000 + 35/hp|corrected|Preserve the published 144 hit points in the HD field while using the inferred top p. 85 row only for XP; the formula yields the published 48040 at 144 hp.
erinyes||6+1--7|225|8|1|rope of entanglement|1|3|pain poison; magic use; magic resistance|3|none|875 + 8/hp|875 + 8/hp|confirmed|The entangling rope earns one Special while poison, magic use, and magic resistance earn three Exceptionals.
geryon||21+|5000|35|5|armor class -3; weapon immunity; exceptional combat intelligence; horn summoning; shared devil defenses|9|5|maximum damage; poison; spell use; psionics; magic resistance|5|fixed 133 hp; extraordinary weighting of Special packages|47975 fixed|43400 + 35/hp|corrected|Preserve the published 133 hit points in the HD field. Its d8-average equivalent is about 30 HD, so use the 21-and-up row; nine Special and five Exceptional award units give 43400 + 35/hp, or 48055 at 133 hp, correcting the irreproducible published total.
horned_devil||5+1--6|150|6|6|four attacks; armor class -5; weapon immunity; high combat intelligence; fear; special weapon package|6|4|spell use; psionics; magic resistance; bleeding and stunning package|4|DMG 1320 cannot be produced from this row|1320 + 6/hp|1100 + 6/hp|corrected|Six Special and four Exceptional awards give 1100 + 6/hp. The DMG's 1320 subtotal is irreproducible from the 5+1--6 row and should not be forced through fractional awards.
ice_devil||11--12+|1300|16|2|four attacks and armor class -4; weapon immunity and regeneration package|2|2|magic use and psionics; magic resistance|2|none|4400 + 16/hp|4400 + 16/hp|confirmed|Two Special and two Exceptional award units reproduce the published subtotal and cover its multiple attacks, defenses, magic use, psionics, and resistance.
lemure||2+1--3|35|3|2|regeneration; spell immunity|2|0|none|0|none|65 + 3/hp|65 + 3/hp|confirmed|Regeneration and immunity to charm, sleep, and similar spells earn two Special awards.
pit_fiend||13--14+|1800|18|4|armor class -3; weapon immunity; regeneration; exceptional intelligence and special attack package|4|2|magic use and psionics; magic resistance|2|DMG 7900 cannot be produced from this row|7900 + 18/hp|8000 + 18/hp|corrected|Four Special and two Exceptional awards give 8000 + 18/hp. The DMG's 7900 subtotal is irreproducible from the 13--14+ row.
anatosaurus||11--12+|1300|16|0|none|0|0|none|0|none|1300 + 16/hp|1300 + 16/hp|confirmed|No qualifying abilities.
ankylosaurus||8+1--9|600|12|1|armor class 0|1|0|none|0|spelling corrected from anklyosaurus|900 + 12/hp|900 + 12/hp|corrected|Armor class 0 earns one Special award; the XP calculation was already correct.
antrodemus||15--16+|2400|20|0|none|0|0|none|0|none|2400 + 20/hp|2400 + 20/hp|confirmed|No qualifying abilities.
apatosaurus||21+|5000|35|0|none|0|1|stepping or trampling for 4--40 damage|1|add prose-supported stepping award|5000 + 35/hp|8000 + 35/hp|corrected|Its prose says it is prone to stepping on creatures in its path; the 40-point maximum exceeds the single-attack threshold and earns one Exceptional award.
archelon_ischyras||6+1--7|225|8|0|none|0|0|none|0|none|225 + 8/hp|225 + 8/hp|confirmed|No qualifying abilities.
brachiosaurus||21+|5000|35|0|none|0|1|stepping or trampling for 8--80 damage|1|add prose-supported stepping award|5000 + 35/hp|8000 + 35/hp|corrected|Its stepping attack far exceeds the single-attack damage threshold and earns one Exceptional award.
camarasaurus||19--20+|4000|30|0|none|0|1|stepping or trampling for 3--30 damage|1|add prose-supported stepping award|4000 + 30/hp|6500 + 30/hp|corrected|Its 30-point stepping attack exceeds the single-attack damage threshold and earns one Exceptional award.
ceratosaurus||7+1--8|375|10|0|none|0|0|none|0|DMG uses the 9-HD row for an 8-HD monster|600 + 12/hp|375 + 10/hp|corrected|Use the actual 8 HD row; its three-attack routine has a maximum of 28, below the trebled threshold of 36.
cetiosaurus||21+|5000|35|0|none|0|1|stepping or trampling for 4--40 damage|1|add prose-supported stepping award|5000 + 35/hp|8000 + 35/hp|corrected|Its stepping attack exceeds the single-attack damage threshold and earns one Exceptional award.
dinichtys||9+1--10+|900|14|0|none|0|1|swallowing whole|1|none|1500 + 14/hp|1500 + 14/hp|confirmed|Swallowing whole earns one Exceptional award.
diplodocus||21+|5000|35|0|none|0|1|stepping or trampling for 3--30 damage|1|add prose-supported stepping award|5000 + 35/hp|8000 + 35/hp|corrected|Its stepping attack exceeds the single-attack damage threshold and earns one Exceptional award.
elasmosaurus||15--16+|2400|20|0|none|0|0|none|0|none|2400 + 20/hp|2400 + 20/hp|confirmed|No qualifying abilities.
gorgosaurus||13--14+|1800|18|0|none|0|0|none|0|none|1800 + 18/hp|1800 + 18/hp|confirmed|Its three-attack routine has a maximum of 34, below the trebled threshold of 36.
iguanadon||5+1--6|150|6|0|none|0|0|none|0|none|150 + 6/hp|150 + 6/hp|confirmed|No qualifying abilities.
lambeosaurus||11--12+|1300|16|0|none|0|0|none|0|none|1300 + 16/hp|1300 + 16/hp|confirmed|No qualifying abilities.
megalosaurus||11--12+|1300|16|0|none|0|0|none|0|none|1300 + 16/hp|1300 + 16/hp|confirmed|No qualifying abilities.
monoclonius||7+1--8|375|10|1|charge and trample|1|0|none|0|correct XP/HP rate from 8 to 10|550 + 8/hp|550 + 10/hp|corrected|Charge and trample earn one Special award; use the 8-HD row's 10 XP per hit point.
mosasaurus||11--12+|1300|16|0|none|0|1|maximum damage 32 singly|1|correct crossed XP/HP rate and add damage award|1300 + 18/hp|2150 + 16/hp|corrected|Use the 12-HD row and award one Exceptional for its 32-point single bite.
paleoscincus||8+1--9|600|12|1|armor class -3|1|1|spiked retaliation for 3--12 damage|1|none|1300 + 12/hp|1300 + 12/hp|confirmed|Armor class -3 earns one Special and its damaging defensive package earns one Exceptional award.
pentaceratops||11--12+|1300|16|1|charge and trample|1|0|none|0|correct XP/HP rate from 18 to 16 and add charge award|1300 + 18/hp|2000 + 16/hp|corrected|Use the 12-HD row and award one Special for charge and trample.
plateosaurus||7+1--8|375|10|0|none|0|0|none|0|none|375 + 10/hp|375 + 10/hp|confirmed|No qualifying abilities.
plesiosaurus||19--20+|4000|30|0|none|0|1|maximum damage 44 trebly in water|1|add prose-supported flipper attacks|4000 + 30/hp|6500 + 30/hp|corrected|In water its bite and two fore-flipper attacks total 44 maximum damage, exceeding the trebled threshold of 36; award one Exceptional and use level IX.
pteranodon||3+1--4|60|4|0|none|0|0|none|0|remove DMG's unsupported Special award|85 + 4/hp|60 + 4/hp|corrected|The MM lists no special attacks or defenses, and its ordinary flight and diving behavior provide no bonus damage, surprise, missile discharge, or other p. 85 Special.
stegosaurus||17--18+|3000|25|0|none|0|0|none|0|none|3000 + 25/hp|3000 + 25/hp|confirmed|No qualifying abilities.
styracosaurus||9+1--10+|900|14|1|charge and trample|1|1|spiked defensive retaliation|1|none|1950 + 14/hp|1950 + 14/hp|confirmed|Charge and trample earn one Special, while the multi-spike retaliation described as a special defense earns one Exceptional award.
teratosaurus||9+1--10+|900|14|0|none|0|0|none|0|none|900 + 14/hp|900 + 14/hp|confirmed|Its three-attack routine has a maximum of 24, below the trebled threshold of 36.
triceratops||15--16+|2400|20|1|charge and trample|1|0|none|0|reclassify DMG's Exceptional as Special|4000 + 20/hp|3650 + 20/hp|corrected|Charge and trample are an ordinary special attack, not an Exceptional ability; one Special award gives 3650 + 20/hp.
tyrannosaurus_rex||17--18+|3000|25|0|none|0|2|maximum damage 52 trebly; swallowing whole|2|replace DMG's 1S and 1E with two Exceptionals|6550 + 25/hp|7000 + 25/hp|corrected|Its three-attack routine exceeds the trebled damage threshold and swallowing whole is separately Exceptional.
displacer_beast||5+1--6|150|6|1|displacement gives opponents -2 to hit|1|2|saves as a 12th-level fighter; +2 saving-throw bonus|2|correct XP/HP rate from 8 to 6|475 + 8/hp|475 + 6/hp|corrected|The subtotal reverse-engineers as one Special and two Exceptional defensive awards; use the actual 6-HD row's 6 XP per hit point.
djinni||7+1--8|375|10|2|whirlwind; minor magic use|2|0|none|0|correct XP/HP rate from 5 to 10|725 + 5/hp|725 + 10/hp|corrected|Whirlwind and its largely minor, defensive spell-like powers earn two Specials; use the 7+1--8 row's 10 XP per hit point.
